size,array_type,algorithm,threshold,time
3900,reversed,standard,0,1794
3900,nearly_sorted,standard,0,1436
3900,random,hybrid,5,1321
3900,reversed,hybrid,5,1194
3900,nearly_sorted,hybrid,5,1232
3900,random,hybrid,10,1202
3900,reversed,hybrid,10,858
3900,nearly_sorted,hybrid,10,961
3900,random,hybrid,20,1071
3900,reversed,hybrid,20,898
3900,nearly_sorted,hybrid,20,739
3900,random,hybrid,30,1081
3900,reversed,hybrid,30,1018
3900,nearly_sorted,hybrid,30,664
3900,random,hybrid,50,1126
3900,reversed,hybrid,50,1004
3900,nearly_sorted,hybrid,50,664
4000,random,standard,0,1906
4000,reversed,standard,0,1496
4000,nearly_sorted,standard,0,1586
4000,random,hybrid,5,1408
4000,reversed,hybrid,5,934
4000,nearly_sorted,hybrid,5,1041
4000,random,hybrid,10,1090
4000,reversed,hybrid,10,836
4000,nearly_sorted,hybrid,10,863
4000,random,hybrid,20,1040
4000,reversed,hybrid,20,858
4000,nearly_sorted,hybrid,20,708
4000,random,hybrid,30,1017
4000,reversed,hybrid,30,944
4000,nearly_sorted,hybrid,30,675
4000,random,hybrid,50,1035
4000,reversed,hybrid,50,1042
4000,nearly_sorted,hybrid,50,652
4100,random,standard,0,1854
4100,reversed,standard,0,1713
4100,nearly_sorted,standard,0,1654
4100,random,hybrid,5,1382
4100,reversed,hybrid,5,973
4100,nearly_sorted,hybrid,5,1126
4100,random,hybrid,10,1211
4100,reversed,hybrid,10,888
4100,nearly_sorted,hybrid,10,835
4100,random,hybrid,20,1141
4100,reversed,hybrid,20,952
4100,nearly_sorted,hybrid,20,739
4100,random,hybrid,30,1104
4100,reversed,hybrid,30,978
4100,nearly_sorted,hybrid,30,785
4100,random,hybrid,50,1116
4100,reversed,hybrid,50,1183
4100,nearly_sorted,hybrid,50,724
4200,random,standard,0,1994
4200,reversed,standard,0,1605
4200,nearly_sorted,standard,0,1621
4200,random,hybrid,5,1439
4200,reversed,hybrid,5,1090
4200,nearly_sorted,hybrid,5,1164
4200,random,hybrid,10,1248
4200,reversed,hybrid,10,916
4200,nearly_sorted,hybrid,10,974
4200,random,hybrid,20,1170
4200,reversed,hybrid,20,939
4200,nearly_sorted,hybrid,20,850
4200,random,hybrid,30,1115
4200,reversed,hybrid,30,949
4200,nearly_sorted,hybrid,30,751
4200,random,hybrid,50,1110
4200,reversed,hybrid,50,1121
4200,nearly_sorted,hybrid,50,729
4300,random,standard,0,2090
4300,reversed,standard,0,1488
4300,nearly_sorted,standard,0,2188
4300,random,hybrid,5,1411
4300,reversed,hybrid,5,934
4300,nearly_sorted,hybrid,5,1013
4300,random,hybrid,10,1347
4300,reversed,hybrid,10,891
4300,nearly_sorted,hybrid,10,850
4300,random,hybrid,20,1477
4300,reversed,hybrid,20,1152
4300,nearly_sorted,hybrid,20,810
4300,random,hybrid,30,1197
4300,reversed,hybrid,30,903
4300,nearly_sorted,hybrid,30,765
4300,random,hybrid,50,1160
4300,reversed,hybrid,50,1153
4300,nearly_sorted,hybrid,50,685
4400,random,standard,0,2074
4400,reversed,standard,0,1722
4400,nearly_sorted,standard,0,2403
4400,random,hybrid,5,1284
4400,reversed,hybrid,5,1354
4400,nearly_sorted,hybrid,5,964
4400,random,hybrid,10,1135
4400,reversed,hybrid,10,884
4400,nearly_sorted,hybrid,10,842
4400,random,hybrid,20,1065
4400,reversed,hybrid,20,1377
4400,nearly_sorted,hybrid,20,783
4400,random,hybrid,30,1084
4400,reversed,hybrid,30,920
4400,nearly_sorted,hybrid,30,730
4400,random,hybrid,50,1108
4400,reversed,hybrid,50,1101
4400,nearly_sorted,hybrid,50,681
4500,random,standard,0,2049
4500,reversed,standard,0,1561
4500,nearly_sorted,standard,0,1526
4500,random,hybrid,5,1261
4500,reversed,hybrid,5,944
4500,nearly_sorted,hybrid,5,984
4500,random,hybrid,10,1183
4500,reversed,hybrid,10,895
4500,nearly_sorted,hybrid,10,880
4500,random,hybrid,20,1080
4500,reversed,hybrid,20,940
4500,nearly_sorted,hybrid,20,770
4500,random,hybrid,30,1103
4500,reversed,hybrid,30,924
4500,nearly_sorted,hybrid,30,754
4500,random,hybrid,50,1075
4500,reversed,hybrid,50,1100
4500,nearly_sorted,hybrid,50,678
4600,random,standard,0,1999
4600,reversed,standard,0,1583
4600,nearly_sorted,standard,0,1628
4600,random,hybrid,5,1325
4600,reversed,hybrid,5,951
4600,nearly_sorted,hybrid,5,1010
4600,random,hybrid,10,1196
4600,reversed,hybrid,10,908
4600,nearly_sorted,hybrid,10,871
4600,random,hybrid,20,1140
4600,reversed,hybrid,20,965
4600,nearly_sorted,hybrid,20,782
4600,random,hybrid,30,1131
4600,reversed,hybrid,30,964
4600,nearly_sorted,hybrid,30,801
4600,random,hybrid,50,1161
4600,reversed,hybrid,50,1186
4600,nearly_sorted,hybrid,50,712
4700,random,standard,0,2145
4700,reversed,standard,0,1587
4700,nearly_sorted,standard,0,1690
4700,random,hybrid,5,1362
4700,reversed,hybrid,5,1012
4700,nearly_sorted,hybrid,5,1084
4700,random,hybrid,10,1262
4700,reversed,hybrid,10,958
4700,nearly_sorted,hybrid,10,1369
4700,random,hybrid,20,1734
4700,reversed,hybrid,20,1564
4700,nearly_sorted,hybrid,20,1249
4700,random,hybrid,30,1702
4700,reversed,hybrid,30,1516
4700,nearly_sorted,hybrid,30,1225
4700,random,hybrid,50,1743
4700,reversed,hybrid,50,1972
4700,nearly_sorted,hybrid,50,1198
4800,random,standard,0,3169
4800,reversed,standard,0,2713
4800,nearly_sorted,standard,0,2723
4800,random,hybrid,5,2120
4800,reversed,hybrid,5,1505
4800,nearly_sorted,hybrid,5,1598
4800,random,hybrid,10,1351
4800,reversed,hybrid,10,1008
4800,nearly_sorted,hybrid,10,953
4800,random,hybrid,20,1331
4800,reversed,hybrid,20,1087
4800,nearly_sorted,hybrid,20,882
4800,random,hybrid,30,1277
4800,reversed,hybrid,30,1088
4800,nearly_sorted,hybrid,30,861
4800,random,hybrid,50,1516
4800,reversed,hybrid,50,1522
4800,nearly_sorted,hybrid,50,787
4900,random,standard,0,2149
4900,reversed,standard,0,1635
4900,nearly_sorted,standard,0,1879
4900,random,hybrid,5,1436
4900,reversed,hybrid,5,1145
4900,nearly_sorted,hybrid,5,1082
4900,random,hybrid,10,1323
4900,reversed,hybrid,10,1098
4900,nearly_sorted,hybrid,10,953
4900,random,hybrid,20,1220
4900,reversed,hybrid,20,1044
4900,nearly_sorted,hybrid,20,833
4900,random,hybrid,30,1189
4900,reversed,hybrid,30,1029
4900,nearly_sorted,hybrid,30,828
4900,random,hybrid,50,1228
4900,reversed,hybrid,50,1393
4900,nearly_sorted,hybrid,50,758
5000,random,standard,0,2096
5000,reversed,standard,0,2022
5000,nearly_sorted,standard,0,2100
5000,random,hybrid,5,1446
5000,reversed,hybrid,5,1129
5000,nearly_sorted,hybrid,5,1097
5000,random,hybrid,10,1286
5000,reversed,hybrid,10,967
5000,nearly_sorted,hybrid,10,930
5000,random,hybrid,20,1217
5000,reversed,hybrid,20,1045
5000,nearly_sorted,hybrid,20,826
5000,random,hybrid,30,1220
5000,reversed,hybrid,30,1045
5000,nearly_sorted,hybrid,30,826
5000,random,hybrid,50,1258
5000,reversed,hybrid,50,1300
5000,nearly_sorted,hybrid,50,779
5100,random,standard,0,2060
5100,reversed,standard,0,1583
5100,nearly_sorted,standard,0,2092
5100,random,hybrid,5,1499
5100,reversed,hybrid,5,1018
5100,nearly_sorted,hybrid,5,1169
5100,random,hybrid,10,1344
5100,reversed,hybrid,10,1031
5100,nearly_sorted,hybrid,10,965
5100,random,hybrid,20,1279
